rule,support
"214587384, 214717888, 214832557",2
"214587384, 214718160",2
"214587384, 214819552",2
"214587384, 214819552, 214832557",2
"214587384, 214832557",5
214587609,2
"214587609, 214832730",2
"214587609, 214832730, 214833802",2
"214587609, 214833802",2
214587643,2
214587650,4
"214587650, 214832730",2
"214587650, 214832730, 214833802",2
"214587650, 214833802",3
214587697,2
"214587697, 214820392",2
214587703,2
214587785,2
214587800,2
"214587800, 214833800",2
214587898,8
214589606,2
214589627,2
"214589627, 214826750",2
214591374,2
"214591374, 214601049",2
214594678,17
"214594678, 214594680",9
"214594678, 214602834",2
"214594678, 214826810",2
214594680,13
214594708,2
214596176,2
"214596176, 214640407",2
214596446,2
214600492,3
"214600492, 214819464",2
214600502,2
214600607,2
214600989,11
"214600989, 214680369",2
"214600989, 214712237",2
"214600989, 214712237, 214835120",2
"214600989, 214835117",2
"214600989, 214835120",4
"214600989, 214835120, 214835285",2
"214600989, 214835285",2
214601034,2
214601040,17
"214601040, 214601042",11
214601042,13
"214601042, 214821296",2
214601049,2
214601060,3
"214601060, 214827032",2
214601197,7
214601218,2
"214601218, 214826801",2
214601229,3
"214601229, 214717286",2
"214601229, 214717286, 214819430",2
"214601229, 214717286, 214819430, 214819760",2
"214601229, 214717286, 214819430, 214819760, 214820392",2
"214601229, 214717286, 214819430, 214819760, 214820392, 214826908",2
"214601229, 214717286, 214819430, 214819760, 214826908",2
"214601229, 214717286, 214819430, 214820392",2
"214601229, 214717286, 214819430, 214820392, 214826908",2
"214601229, 214717286, 214819430, 214826908",2
"214601229, 214717286, 214819760",2
"214601229, 214717286, 214819760, 214820392",2
"214601229, 214717286, 214819760, 214820392, 214826908",2
"214601229, 214717286, 214819760, 214826908",2
"214601229, 214717286, 214820392",2
"214601229, 214717286, 214820392, 214826908",2
"214601229, 214717286, 214826908",2
"214601229, 214819430",2
"214601229, 214819430, 214819760",2
"214601229, 214819430, 214819760, 214820392",2
"214601229, 214819430, 214819760, 214820392, 214826908",2
"214601229, 214819430, 214819760, 214826908",2
"214601229, 214819430, 214820392",2
"214601229, 214819430, 214820392, 214826908",2
"214601229, 214819430, 214826908",2
"214601229, 214819760",2
"214601229, 214819760, 214820392",2
"214601229, 214819760, 214820392, 214826908",2
"214601229, 214819760, 214826908",2
"214601229, 214820392",2
"214601229, 214820392, 214826908",2
"214601229, 214821300",2
"214601229, 214826908",2
214601233,7
"214601233, 214716982",2
"214601233, 214717286",2
"214601233, 214826615",2
214601407,3
214601670,3
214602227,2
214602300,2
214602605,8
"214602605, 214680371",3
"214602605, 214712235",3
"214602605, 214712235, 214835120",2
"214602605, 214835117",2
"214602605, 214835120",2
214602774,2
214602832,2
214602834,2
214606790,2
214606805,3
"214606805, 214707875",2
"214606805, 214707875, 214821015",2
"214606805, 214819374",2
"214606805, 214821015",2
214606813,2
214609325,2
214611444,2
"214611444, 214710309",2
214612697,2
214612704,2
214612706,2
214612708,2
214612751,2
214612785,3
214612920,4
"214612920, 214684160",2
"214612920, 214684160, 214821309",2
"214612920, 214821309",3
214613645,2
214613863,3
"214613863, 214613865",3
"214613863, 214613865, 214613870",2
"214613863, 214613870",2
214613865,5
"214613865, 214613870",3
214613870,3
214630042,4
"214630042, 214700990",2
214636517,2
214636794,2
"214636794, 214714663",2
214639149,2
214640015,2
214640017,8
"214640017, 214717286",2
"214640017, 214717562",3
"214640017, 214717562, 214743495",2
"214640017, 214743495",2
"214640017, 214819430",2
"214640017, 214821401",2
"214640017, 214821401, 214826908",2
"214640017, 214826615",2
"214640017, 214826837",3
"214640017, 214826837, 214826908",2
"214640017, 214826908",4
214640094,3
214640407,3
214640475,2
214640893,2
214641825,2
214642314,2
"214642314, 214676019",2
214642560,4
"214642560, 214819490",2
214643045,3
214643049,2
214644317,4
"214644317, 214708044",3
214644525,2
"214644525, 214819775",2
214644577,2
214644650,2
214644864,2
214645042,2
"214645042, 214717751",2
214645618,2
214645963,2
214648250,2
214650566,2
214651427,5
"214651427, 214684841",2
"214651427, 214684841, 214684845",2
"214651427, 214684841, 214684845, 214826912",2
"214651427, 214684841, 214684845, 214826912, 214828987",2
"214651427, 214684841, 214684845, 214828987",2
"214651427, 214684841, 214826912",2
"214651427, 214684841, 214826912, 214828987",2
"214651427, 214684841, 214828987",2
"214651427, 214684845",2
"214651427, 214684845, 214826912",2
"214651427, 214684845, 214826912, 214828987",2
"214651427, 214684845, 214828987",2
"214651427, 214826912",3
"214651427, 214826912, 214827000",2
"214651427, 214826912, 214827000, 214827005",2
"214651427, 214826912, 214827005",2
"214651427, 214826912, 214828987",2
"214651427, 214827000",2
"214651427, 214827000, 214827005",2
"214651427, 214827005",2
"214651427, 214827026",2
"214651427, 214828987",2
"214651427, 214834865",2
214657524,2
214662819,2
214664919,12
"214664919, 214691426",2
"214664919, 214821277",2
"214664919, 214821292",2
"214664919, 214826623",2
"214664919, 214826625",6
"214664919, 214826625, 214826627",2
"214664919, 214826625, 214826627, 214826955",2
"214664919, 214826625, 214826955",4
"214664919, 214826627",2
"214664919, 214826627, 214826955",2
"214664919, 214826715",2
"214664919, 214826715, 214826955",2
"214664919, 214826801",2
"214664919, 214826955",6
214667912,5
"214667912, 214706102",2
"214667912, 214706102, 214748336",2
"214667912, 214706102, 214748336, 214819721",2
"214667912, 214706102, 214748336, 214819721, 214820402",2
"214667912, 214706102, 214748336, 214820402",2
"214667912, 214706102, 214819721",2
"214667912, 214706102, 214819721, 214820402",2
"214667912, 214706102, 214820402",2
"214667912, 214744775",2
"214667912, 214744775, 214820392",2
"214667912, 214748336",2
"214667912, 214748336, 214819721",2
"214667912, 214748336, 214819721, 214820402",2
"214667912, 214748336, 214820402",2
"214667912, 214819721",2
"214667912, 214819721, 214820402",2
"214667912, 214820392",2
"214667912, 214820402",2
214667921,2
"214667921, 214695285",2
"214667921, 214695285, 214709666",2
"214667921, 214709666",2
214668590,2
214672963,2
214673295,2
214674401,4
"214674401, 214748334",2
214674487,4
214674647,2
214674677,2
214674772,4
214676019,4
"214676019, 214748312",2
"214676019, 214819781",2
"214676019, 214832559",2
214677512,3
"214677512, 214744528",2
"214677512, 214744528, 214783352",2
"214677512, 214744528, 214783352, 214819577",2
"214677512, 214744528, 214783352, 214819577, 214821032",2
"214677512, 214744528, 214783352, 214821032",2
"214677512, 214744528, 214819577",2
"214677512, 214744528, 214819577, 214821032",2
"214677512, 214744528, 214821032",2
"214677512, 214783352",2
"214677512, 214783352, 214819577",2
"214677512, 214783352, 214819577, 214821032",2
"214677512, 214783352, 214821032",2
"214677512, 214819577",2
"214677512, 214819577, 214821032",2
"214677512, 214821032",2
214677821,2
214678044,2
214678835,2
214680356,2
214680369,4
214680371,6
"214680371, 214704180",2
"214680371, 214712235",2
214681091,5
214684046,2
214684093,9
214684115,4
214684160,2
"214684160, 214821309",2
214684513,24
"214684513, 214716928",2
"214684513, 214716928, 214832559",2
"214684513, 214821277",2
"214684513, 214826702",2
"214684513, 214826702, 214826801",2
"214684513, 214826801",3
"214684513, 214826810",2
"214684513, 214832559",2
"214684513, 214839371",3
"214684513, 214839373",2
214684702,3
214684715,3
"214684715, 214711074",2
"214684715, 214711074, 214819627",2
"214684715, 214711074, 214819627, 214826893",2
"214684715, 214711074, 214826893",2
"214684715, 214711438",2
"214684715, 214819627",2
"214684715, 214819627, 214826893",2
"214684715, 214826893",2
214684730,6
"214684730, 214684734",2
"214684730, 214711078",3
"214684730, 214711078, 214711318",2
"214684730, 214711078, 214711318, 214711408",2
"214684730, 214711078, 214711318, 214711408, 214718396",2
"214684730, 214711078, 214711318, 214718396",2
"214684730, 214711078, 214711408",2
"214684730, 214711078, 214711408, 214718396",2
"214684730, 214711078, 214718396",2
"214684730, 214711078, 214826606",2
"214684730, 214711078, 214826606, 214826955",2
"214684730, 214711078, 214826955",2
"214684730, 214711082",2
"214684730, 214711082, 214718396",2
"214684730, 214711318",2
"214684730, 214711318, 214711408",2
"214684730, 214711318, 214711408, 214718396",2
"214684730, 214711318, 214718396",2
"214684730, 214711408",2
"214684730, 214711408, 214718396",2
"214684730, 214718396",3
"214684730, 214718396, 214826627",2
"214684730, 214718396, 214826627, 214826955",2
"214684730, 214718396, 214826955",2
"214684730, 214826606",2
"214684730, 214826606, 214826955",2
"214684730, 214826627",2
"214684730, 214826627, 214826955",2
"214684730, 214826955",4
214684734,6
"214684734, 214711087",3
"214684734, 214711087, 214711318",3
"214684734, 214711087, 214711318, 214718398",2
"214684734, 214711087, 214718398",2
"214684734, 214711318",3
"214684734, 214711318, 214718398",2
"214684734, 214718398",3
"214684734, 214718398, 214826835",2
"214684734, 214820186",2
"214684734, 214826835",2
214684757,2
214684841,7
"214684841, 214684845",2
"214684841, 214684845, 214826912",2
"214684841, 214684845, 214826912, 214828987",2
"214684841, 214684845, 214828987",2
"214684841, 214698446",2
"214684841, 214698446, 214837485",2
"214684841, 214826912",4
"214684841, 214826912, 214826925",2
"214684841, 214826912, 214826925, 214827000",2
"214684841, 214826912, 214826925, 214827000, 214827005",2
"214684841, 214826912, 214826925, 214827000, 214827005, 214828987",2
"214684841, 214826912, 214826925, 214827000, 214828987",2
"214684841, 214826912, 214826925, 214827005",2
"214684841, 214826912, 214826925, 214827005, 214828987",2
"214684841, 214826912, 214826925, 214828987",2
"214684841, 214826912, 214827000",2
"214684841, 214826912, 214827000, 214827005",2
"214684841, 214826912, 214827000, 214827005, 214828987",2
"214684841, 214826912, 214827000, 214828987",2
"214684841, 214826912, 214827005",2
"214684841, 214826912, 214827005, 214828987",2
"214684841, 214826912, 214828987",3
"214684841, 214826925",4
"214684841, 214826925, 214827000",3
"214684841, 214826925, 214827000, 214827005",3
"214684841, 214826925, 214827000, 214827005, 214828987",3
"214684841, 214826925, 214827000, 214827005, 214828987, 214834865",2
"214684841, 214826925, 214827000, 214827005, 214834865",2
"214684841, 214826925, 214827000, 214828987",3
"214684841, 214826925, 214827000, 214828987, 214834865",2
"214684841, 214826925, 214827000, 214834865",2
"214684841, 214826925, 214827005",4
"214684841, 214826925, 214827005, 214827007",2
"214684841, 214826925, 214827005, 214827007, 214834865",2
"214684841, 214826925, 214827005, 214828987",3
"214684841, 214826925, 214827005, 214828987, 214834865",2
"214684841, 214826925, 214827005, 214834865",3
"214684841, 214826925, 214827007",2
"214684841, 214826925, 214827007, 214834865",2
"214684841, 214826925, 214828987",3
"214684841, 214826925, 214828987, 214834865",2
"214684841, 214826925, 214834865",3
"214684841, 214827000",3
"214684841, 214827000, 214827005",3
"214684841, 214827000, 214827005, 214828987",3
"214684841, 214827000, 214827005, 214828987, 214834865",2
"214684841, 214827000, 214827005, 214834865",2
"214684841, 214827000, 214828987",3
"214684841, 214827000, 214828987, 214834865",2
"214684841, 214827000, 214834865",2
"214684841, 214827005",4
"214684841, 214827005, 214827007",2
"214684841, 214827005, 214827007, 214834865",2
"214684841, 214827005, 214828987",3
"214684841, 214827005, 214828987, 214834865",2
"214684841, 214827005, 214834865",3
"214684841, 214827007",2
"214684841, 214827007, 214834865",2
"214684841, 214828987",4
"214684841, 214828987, 214834865",2
"214684841, 214834865",3
"214684841, 214837485",2
214684843,7
"214684843, 214706462",2
"214684843, 214725532",2
"214684843, 214725532, 214819762",2
"214684843, 214819376",2
"214684843, 214819760",3
"214684843, 214819760, 214819762",2
"214684843, 214819762",5
214684845,7
"214684845, 214826912",6
"214684845, 214826912, 214826925",2
"214684845, 214826912, 214826925, 214827005",2
"214684845, 214826912, 214826925, 214827005, 214827007",2
"214684845, 214826912, 214826925, 214827005, 214827007, 214828987",2
"214684845, 214826912, 214826925, 214827005, 214828987",2
"214684845, 214826912, 214826925, 214827007",2
"214684845, 214826912, 214826925, 214827007, 214828987",2
"214684845, 214826912, 214826925, 214828987",2
"214684845, 214826912, 214827000",3
"214684845, 214826912, 214827000, 214827005",2
"214684845, 214826912, 214827000, 214827005, 214827007",2
"214684845, 214826912, 214827000, 214827005, 214827007, 214828987",2
"214684845, 214826912, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214684845, 214826912, 214827000, 214827005, 214827007, 214834865",2
"214684845, 214826912, 214827000, 214827005, 214828987",2
"214684845, 214826912, 214827000, 214827005, 214828987, 214834865",2
"214684845, 214826912, 214827000, 214827005, 214834865",2
"214684845, 214826912, 214827000, 214827007",2
"214684845, 214826912, 214827000, 214827007, 214828987",2
"214684845, 214826912, 214827000, 214827007, 214828987, 214834865",2
"214684845, 214826912, 214827000, 214827007, 214834865",2
"214684845, 214826912, 214827000, 214828987",3
"214684845, 214826912, 214827000, 214828987, 214834865",3
"214684845, 214826912, 214827000, 214834865",3
"214684845, 214826912, 214827005",3
"214684845, 214826912, 214827005, 214827007",3
"214684845, 214826912, 214827005, 214827007, 214828987",3
"214684845, 214826912, 214827005, 214827007, 214828987, 214834865",2
"214684845, 214826912, 214827005, 214827007, 214834865",2
"214684845, 214826912, 214827005, 214828987",3
"214684845, 214826912, 214827005, 214828987, 214834865",2
"214684845, 214826912, 214827005, 214834865",2
"214684845, 214826912, 214827007",3
"214684845, 214826912, 214827007, 214828987",3
"214684845, 214826912, 214827007, 214828987, 214834865",2
"214684845, 214826912, 214827007, 214834865",2
"214684845, 214826912, 214828987",6
"214684845, 214826912, 214828987, 214834865",3
"214684845, 214826912, 214834865",3
"214684845, 214826925",3
"214684845, 214826925, 214827000",2
"214684845, 214826925, 214827000, 214827005",2
"214684845, 214826925, 214827000, 214827005, 214827007",2
"214684845, 214826925, 214827000, 214827007",2
"214684845, 214826925, 214827005",3
"214684845, 214826925, 214827005, 214827007",3
"214684845, 214826925, 214827005, 214827007, 214828987",2
"214684845, 214826925, 214827005, 214828987",2
"214684845, 214826925, 214827007",3
"214684845, 214826925, 214827007, 214828987",2
"214684845, 214826925, 214828987",2
"214684845, 214827000",4
"214684845, 214827000, 214827005",3
"214684845, 214827000, 214827005, 214827007",3
"214684845, 214827000, 214827005, 214827007, 214828987",2
"214684845, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214684845, 214827000, 214827005, 214827007, 214834865",2
"214684845, 214827000, 214827005, 214828987",2
"214684845, 214827000, 214827005, 214828987, 214834865",2
"214684845, 214827000, 214827005, 214834865",2
"214684845, 214827000, 214827007",3
"214684845, 214827000, 214827007, 214828987",2
"214684845, 214827000, 214827007, 214828987, 214834865",2
"214684845, 214827000, 214827007, 214834865",2
"214684845, 214827000, 214828987",3
"214684845, 214827000, 214828987, 214834865",3
"214684845, 214827000, 214834865",3
"214684845, 214827005",4
"214684845, 214827005, 214827007",4
"214684845, 214827005, 214827007, 214828987",3
"214684845, 214827005, 214827007, 214828987, 214834865",2
"214684845, 214827005, 214827007, 214834865",2
"214684845, 214827005, 214828987",3
"214684845, 214827005, 214828987, 214834865",2
"214684845, 214827005, 214834865",2
"214684845, 214827007",4
"214684845, 214827007, 214828987",3
"214684845, 214827007, 214828987, 214834865",2
"214684845, 214827007, 214834865",2
"214684845, 214828987",6
"214684845, 214828987, 214834865",3
"214684845, 214834865",3
214684942,3
"214684942, 214826912",2
"214684942, 214826912, 214827000",2
"214684942, 214826912, 214827000, 214828987",2
"214684942, 214826912, 214827000, 214828987, 214834865",2
"214684942, 214826912, 214827000, 214834865",2
"214684942, 214826912, 214828987",2
"214684942, 214826912, 214828987, 214834865",2
"214684942, 214826912, 214834865",2
"214684942, 214827000",2
"214684942, 214827000, 214828987",2
"214684942, 214827000, 214828987, 214834865",2
"214684942, 214827000, 214834865",2
"214684942, 214828987",3
"214684942, 214828987, 214834865",2
"214684942, 214834865",2
214685141,2
214685152,3
214685422,3
214685424,2
214685784,3
214685795,4
214686086,3
214687642,4
214687685,8
"214687685, 214821290",2
"214687685, 214840419",2
214687736,2
214687768,2
"214687768, 214706445",2
214687852,2
214687985,2
214688098,2
214688612,2
214690110,2
214690845,2
214691117,2
214691255,4
"214691255, 214691557",2
214691261,2
214691285,2
"214691285, 214691355",2
"214691285, 214691355, 214843374",2
"214691285, 214843374",2
214691293,5
"214691293, 214691390",3
"214691293, 214691390, 214691426",2
"214691293, 214691390, 214691428",2
"214691293, 214691426",4
"214691293, 214691426, 214691428",2
"214691293, 214691426, 214691428, 214840766",2
"214691293, 214691426, 214691428, 214840766, 214840775",2
"214691293, 214691426, 214691428, 214840775",2
"214691293, 214691426, 214840766",2
"214691293, 214691426, 214840766, 214840775",2
"214691293, 214691426, 214840775",2
"214691293, 214691428",3
"214691293, 214691428, 214840766",2
"214691293, 214691428, 214840766, 214840775",2
"214691293, 214691428, 214840775",2
"214691293, 214840766",2
"214691293, 214840766, 214840775",2
"214691293, 214840775",2
214691319,2
"214691319, 214691426",2
214691321,4
"214691321, 214691426",2
214691332,3
"214691332, 214691396",2
"214691332, 214691396, 214826625",2
"214691332, 214691426",2
"214691332, 214691426, 214691428",2
"214691332, 214691428",2
"214691332, 214717007",2
"214691332, 214826625",2
214691355,2
"214691355, 214843374",2
214691383,3
"214691383, 214708370",2
"214691383, 214708370, 214826627",2
"214691383, 214826627",2
214691390,8
"214691390, 214691426",4
"214691390, 214691426, 214691428",3
"214691390, 214691428",4
"214691390, 214826799",2
"214691390, 214826835",2
"214691390, 214826835, 214826955",2
"214691390, 214826955",3
214691396,7
"214691396, 214691426",2
"214691396, 214691426, 214691428",2
"214691396, 214691428",2
"214691396, 214826625",2
214691426,14
"214691426, 214691428",7
"214691426, 214691428, 214840766",2
"214691426, 214691428, 214840766, 214840775",2
"214691426, 214691428, 214840775",2
"214691426, 214826801",2
"214691426, 214826955",2
"214691426, 214840766",2
"214691426, 214840766, 214840775",2
"214691426, 214840775",2
"214691426, 214844040",2
214691428,11
"214691428, 214840766",2
"214691428, 214840766, 214840775",2
"214691428, 214840775",2
214691441,3
214691482,2
"214691482, 214691484",2
"214691482, 214691484, 214840792",2
"214691482, 214840792",2
214691484,4
"214691484, 214840792",2
214691557,3
214691587,3
214691632,2
"214691632, 214691679",2
214691677,3
214691679,3
214691683,2
214692718,2
214695097,2
214695285,2
"214695285, 214709666",2
214695425,4
"214695425, 214738453",2
214696434,7
214696556,2
214696802,2
"214696802, 214836954",2
214696997,4
"214696997, 214712137",3
"214696997, 214712137, 214819762",2
"214696997, 214819762",2
214697130,2
"214697130, 214697137",2
"214697130, 214697137, 214827032",2
"214697130, 214827032",2
214697137,3
"214697137, 214827032",2
214698446,4
"214698446, 214826912",2
"214698446, 214826912, 214828987",2
"214698446, 214826912, 214828987, 214837442",2
"214698446, 214826912, 214828987, 214837442, 214837485",2
"214698446, 214826912, 214828987, 214837485",2
"214698446, 214826912, 214837442",2
"214698446, 214826912, 214837442, 214837485",2
"214698446, 214826912, 214837485",2
"214698446, 214828987",2
"214698446, 214828987, 214837442",2
"214698446, 214828987, 214837442, 214837485",2
"214698446, 214828987, 214837485",2
"214698446, 214837442",3
"214698446, 214837442, 214837485",3
"214698446, 214837442, 214837485, 214837487",2
"214698446, 214837442, 214837487",2
"214698446, 214837485",4
"214698446, 214837485, 214837487",3
"214698446, 214837487",3
214698577,3
214698581,2
214699265,2
214699888,2
214700885,2
214700990,2
214701212,3
214701242,2
214701307,2
214701684,2
214702826,2
214702895,2
214702912,2
214702925,2
214703790,2
214704180,3
214704182,4
214705119,2
214705655,3
214705757,5
"214705757, 214709685",2
"214705757, 214826801",2
214705787,2
214705991,5
214705993,2
214706102,3
"214706102, 214748336",3
"214706102, 214748336, 214819721",3
"214706102, 214748336, 214819721, 214820402",2
"214706102, 214748336, 214820402",2
"214706102, 214819721",3
"214706102, 214819721, 214820402",2
"214706102, 214820402",2
214706147,3
214706216,3
214706432,16
"214706432, 214706460",8
"214706432, 214706460, 214821028",5
"214706432, 214821028",13
214706441,8
214706445,2
214706460,12
"214706460, 214821028",6
214706462,2
214707875,2
"214707875, 214821015",2
214707877,2
"214707877, 214707879",2
214707879,2
214707995,2
"214707995, 214748293",2
214708044,3
214708239,2
214708303,2
214708305,2
214708370,11
"214708370, 214744779",2
"214708370, 214820441",2
"214708370, 214826627",2
"214708370, 214826702",2
"214708370, 214826702, 214826801",2
"214708370, 214826705",2
"214708370, 214826801",4
214709585,2
"214709585, 214821296",2
214709587,2
214709589,3
214709634,10
"214709634, 214712402",2
"214709634, 214828987",2
"214709634, 214828987, 214837442",2
"214709634, 214829312",2
"214709634, 214837442",2
214709645,3
214709666,5
"214709666, 214712137",2
"214709666, 214744775",3
"214709666, 214791682",2
"214709666, 214791682, 214819762",2
"214709666, 214819762",2
214709685,5
"214709685, 214821279",2
"214709685, 214821279, 214829737",2
"214709685, 214829737",3
214709735,2
214709792,3
214709807,5
"214709807, 214717757",2
214709820,2
214709979,2
214710075,2
214710101,2
214710159,2
214710309,3
214711074,2
"214711074, 214819627",2
"214711074, 214819627, 214826893",2
"214711074, 214826893",2
214711078,4
"214711078, 214711318",2
"214711078, 214711318, 214711408",2
"214711078, 214711318, 214711408, 214718396",2
"214711078, 214711318, 214718396",2
"214711078, 214711408",2
"214711078, 214711408, 214718396",2
"214711078, 214718396",2
"214711078, 214826606",2
"214711078, 214826606, 214826955",2
"214711078, 214826955",3
214711082,3
"214711082, 214718396",2
"214711082, 214718398",2
214711087,3
"214711087, 214711318",3
"214711087, 214711318, 214718398",2
"214711087, 214718398",2
214711280,2
214711290,2
"214711290, 214826606",2
214711297,3
214711307,6
"214711307, 214826829",2
"214711307, 214826829, 214826893",2
"214711307, 214826835",2
"214711307, 214826835, 214826955",2
"214711307, 214826893",4
"214711307, 214826955",2
214711312,4
"214711312, 214711438",2
"214711312, 214819530",2
214711318,5
"214711318, 214711408",2
"214711318, 214711408, 214718396",2
"214711318, 214718396",2
"214711318, 214718398",2
"214711318, 214826606",2
"214711318, 214826835",2
214711408,2
"214711408, 214718396",2
214711438,5
"214711438, 214826893",2
214712107,5
"214712107, 214838503",3
214712120,2
214712137,4
"214712137, 214819762",2
214712235,6
"214712235, 214712237",2
"214712235, 214835120",2
214712237,6
"214712237, 214743515",3
"214712237, 214835120",2
214712240,2
214712272,3
214712402,6
214714663,2
214714721,2
214714732,2
214714757,4
214714794,4
"214714794, 214834865",2
214714880,2
214714927,2
214716110,2
214716120,3
"214716120, 214783352",2
"214716120, 214783352, 214821032",2
"214716120, 214821032",2
214716461,2
214716467,2
214716667,2
214716671,4
"214716671, 214716714",2
"214716671, 214716714, 214828987",2
"214716671, 214827000",2
"214716671, 214827000, 214827005",2
"214716671, 214827000, 214827005, 214828987",2
"214716671, 214827000, 214827005, 214828987, 214834865",2
"214716671, 214827000, 214827005, 214834865",2
"214716671, 214827000, 214828987",2
"214716671, 214827000, 214828987, 214834865",2
"214716671, 214827000, 214834865",2
"214716671, 214827005",2
"214716671, 214827005, 214828987",2
"214716671, 214827005, 214828987, 214834865",2
"214716671, 214827005, 214834865",2
"214716671, 214828987",3
"214716671, 214828987, 214834865",2
"214716671, 214834865",2
214716707,2
214716710,2
214716714,2
"214716714, 214828987",2
214716902,2
214716924,4
214716926,21
"214716926, 214716928",7
"214716926, 214716928, 214716930",2
"214716926, 214716928, 214716930, 214717003",2
"214716926, 214716928, 214716971",2
"214716926, 214716928, 214716971, 214717003",2
"214716926, 214716928, 214717003",6
"214716926, 214716928, 214717003, 214717005",3
"214716926, 214716928, 214717003, 214717005, 214717007",2
"214716926, 214716928, 214717003, 214717007",3
"214716926, 214716928, 214717005",4
"214716926, 214716928, 214717005, 214717007",2
"214716926, 214716928, 214717007",3
"214716926, 214716930",2
"214716926, 214716930, 214717003",2
"214716926, 214716971",2
"214716926, 214716971, 214717003",2
"214716926, 214716986",2
"214716926, 214716986, 214717005",2
"214716926, 214717003",11
"214716926, 214717003, 214717005",4
"214716926, 214717003, 214717005, 214717007",2
"214716926, 214717003, 214717007",3
"214716926, 214717005",10
"214716926, 214717005, 214717007",3
"214716926, 214717007",4
214716928,35
"214716928, 214716930",6
"214716928, 214716930, 214716932",2
"214716928, 214716930, 214716932, 214716935",2
"214716928, 214716930, 214716935",2
"214716928, 214716930, 214716982",2
"214716928, 214716930, 214716982, 214716984",2
"214716928, 214716930, 214716984",3
"214716928, 214716930, 214716984, 214819468",2
"214716928, 214716930, 214717003",3
"214716928, 214716930, 214717003, 214717007",2
"214716928, 214716930, 214717007",3
"214716928, 214716930, 214819468",2
"214716928, 214716932",3
"214716928, 214716932, 214716935",2
"214716928, 214716932, 214716984",2
"214716928, 214716935",3
"214716928, 214716937",3
"214716928, 214716937, 214716939",2
"214716928, 214716937, 214716939, 214717007",2
"214716928, 214716937, 214716939, 214717007, 214838368",2
"214716928, 214716937, 214716939, 214838368",2
"214716928, 214716937, 214716971",2
"214716928, 214716937, 214716971, 214717003",2
"214716928, 214716937, 214716971, 214717003, 214717005",2
"214716928, 214716937, 214716971, 214717005",2
"214716928, 214716937, 214717003",2
"214716928, 214716937, 214717003, 214717005",2
"214716928, 214716937, 214717005",2
"214716928, 214716937, 214717007",2
"214716928, 214716937, 214717007, 214838368",2
"214716928, 214716937, 214838368",2
"214716928, 214716939",3
"214716928, 214716939, 214716971",2
"214716928, 214716939, 214716971, 214717003",2
"214716928, 214716939, 214716971, 214717003, 214717005",2
"214716928, 214716939, 214716971, 214717003, 214717005, 214717007",2
"214716928, 214716939, 214716971, 214717003, 214717007",2
"214716928, 214716939, 214716971, 214717005",2
"214716928, 214716939, 214716971, 214717005, 214717007",2
"214716928, 214716939, 214716971, 214717007",2
"214716928, 214716939, 214717003",2
"214716928, 214716939, 214717003, 214717005",2
"214716928, 214716939, 214717003, 214717005, 214717007",2
"214716928, 214716939, 214717003, 214717007",2
"214716928, 214716939, 214717005",2
"214716928, 214716939, 214717005, 214717007",2
"214716928, 214716939, 214717007",3
"214716928, 214716939, 214717007, 214838368",2
"214716928, 214716939, 214838368",2
"214716928, 214716943",2
"214716928, 214716943, 214717003",2
"214716928, 214716971",4
"214716928, 214716971, 214716990",2
"214716928, 214716971, 214716990, 214717003",2
"214716928, 214716971, 214716990, 214717003, 214717005",2
"214716928, 214716971, 214716990, 214717005",2
"214716928, 214716971, 214717003",4
"214716928, 214716971, 214717003, 214717005",3
"214716928, 214716971, 214717003, 214717005, 214717007",2
"214716928, 214716971, 214717003, 214717007",3
"214716928, 214716971, 214717005",3
"214716928, 214716971, 214717005, 214717007",2
"214716928, 214716971, 214717007",3
"214716928, 214716982",3
"214716928, 214716982, 214716984",2
"214716928, 214716984",7
"214716928, 214716984, 214717003",2
"214716928, 214716984, 214717007",4
"214716928, 214716984, 214717007, 214832657",3
"214716928, 214716984, 214819468",2
"214716928, 214716984, 214832657",3
"214716928, 214716988",2
"214716928, 214716988, 214717003",2
"214716928, 214716988, 214717003, 214717007",2
"214716928, 214716988, 214717007",2
"214716928, 214716990",2
"214716928, 214716990, 214717003",2
"214716928, 214716990, 214717003, 214717005",2
"214716928, 214716990, 214717005",2
"214716928, 214717003",20
"214716928, 214717003, 214717005",6
"214716928, 214717003, 214717005, 214717007",5
"214716928, 214717003, 214717007",10
"214716928, 214717003, 214717007, 214832655",2
"214716928, 214717003, 214819468",2
"214716928, 214717003, 214832655",2
"214716928, 214717005",8
"214716928, 214717005, 214717007",5
"214716928, 214717007",16
"214716928, 214717007, 214832655",3
"214716928, 214717007, 214832657",4
"214716928, 214717007, 214836892",2
"214716928, 214717007, 214838368",2
"214716928, 214717867",2
"214716928, 214748336",2
"214716928, 214819468",3
"214716928, 214832559",2
"214716928, 214832655",3
"214716928, 214832657",4
"214716928, 214836892",2
"214716928, 214838368",2
214716930,29
"214716930, 214716932",8
"214716930, 214716932, 214716935",6
"214716930, 214716935",9
"214716930, 214716971",4
"214716930, 214716971, 214716982",2
"214716930, 214716982",4
"214716930, 214716982, 214716984",2
"214716930, 214716984",3
"214716930, 214716984, 214819468",2
"214716930, 214717003",3
"214716930, 214717003, 214717007",2
"214716930, 214717007",3
"214716930, 214819468",2
